location;date;trend;day;month
Spain;2020-04-17;Ernesto Sevilla;17;04
Spain;2020-04-17;Universidad de Extremadura;17;04
Spain;2020-04-17;Felicidades Alcalde;17;04
Spain;2020-04-17;Francia e Italia;17;04
Spain;2020-04-17;Garry Galaxy;17;04
Spain;2020-04-17;María Patiño;17;04
Spain;2020-04-17;Idealista;17;04
Spain;2020-04-17;Javier Ruiz;17;04
Spain;2020-04-17;Monomarental;17;04
Spain;2020-04-17;Rosa Luxemburgo;17;04
Spain;2020-04-17;MadCool;17;04
Spain;2020-04-17;#irenemontero;17;04
Spain;2020-04-17;#ChollometroYMedionOnFire;17;04
Spain;2020-04-17;#paguita;17;04
Spain;2020-04-17;Pepu;17;04
Spain;2020-04-17;Yo con 20;17;04
Spain;2020-04-17;Almeida;17;04
Spain;2020-04-17;#QuedOTEnCasa17A;17;04
Spain;2020-04-17;Taylor;17;04
Spain;2020-04-17;#OT18EnCasa;17;04
Spain;2020-04-18;#PolíticaÚtil;18;04
Spain;2020-04-18;#Giandara18A;18;04
Spain;2020-04-18;#screenshotsaturday;18;04
Spain;2020-04-18;#Diadelosmonumentos;18;04
Spain;2020-04-18;#AupaAthletic;18;04
Spain;2020-04-18;#VRTeamAntman;18;04
Spain;2020-04-18;#N1CanalFiesta17;18;04
Spain;2020-04-18;#18Abril;18;04
Spain;2020-04-18;#BIFLive;18;04
Spain;2020-04-18;#MiConcursoFavorito;18;04
Spain;2020-04-18;#askJesus;18;04
Spain;2020-04-18;#AsiNoUJI;18;04
Spain;2020-04-18;#LECBreak;18;04
Spain;2020-04-18;#BiziAmetsa;18;04
Spain;2020-04-18;#TogetherAtHome;18;04
Spain;2020-04-18;#RaoulNuestroChicoDeOro;18;04
Spain;2020-04-18;Consejo General de Enfermería;18;04
