trend;start_lifetime;total_tweets;total_hashtags;total_mentions;total_reply_to;total_url;total_photo;total_retweets;total_likes;total_replies;total_interaction;tweet_count_01;tweet_count_12;tweet_count_23;tweet_count_34;tweet_count_45;tweet_count_56;tweet_count_67;tweet_vel_01;tweet_vel_12;tweet_vel_23;tweet_vel_34;tweet_vel_45;tweet_vel_56;tweet_vel_67;tweet_acc_01;tweet_acc_12;tweet_acc_23;tweet_acc_34;tweet_acc_45;tweet_acc_56;tweet_acc_67;user_count_01;user_count_12;user_count_23;user_count_34;user_count_45;user_count_56;user_count_67
nunca;17;4879;4879;5140;7687;311;360;9190.0;34570.0;3743.0;47503.0;20;30;22;22;408;2573;4429;20;10;-8;0;386;2165;1856;20;-10;-18;8;386;1779;-309;17;27;22;22;383;2396;4128
nunca;18;2808;2808;2977;4150;217;310;7548.0;28842.0;2080.0;38470.0;7;11;10;12;257;1523;2534;7;4;-1;2;245;1266;1011;7;-3;-5;3;243;1021;-255;7;11;10;12;239;1378;2296
nunca;19;1892;1892;1914;2558;60;139;5829.0;29517.0;1593.0;36939.0;8;13;5;8;158;1050;1721;8;5;-8;3;150;892;671;8;-3;-13;11;147;742;-221;8;13;5;8;153;997;1618
nunca;20;4846;4846;5065;7523;328;300;13610.0;48954.0;3643.0;66207.0;8;31;37;26;449;2665;4352;8;23;6;-11;423;2216;1687;8;15;-17;-17;434;1793;-529;8;29;34;25;420;2454;4020
nunca;21;1466;1466;1499;1737;84;150;5694.0;47226.0;1279.0;54199.0;0;0;0;0;149;804;1317;0;0;0;0;149;655;513;0;0;0;0;149;506;-142;0;0;0;0;140;759;1245
nunca;22;1845;1845;1891;2414;86;136;5603.0;42469.0;1876.0;49948.0;4;7;3;0;147;977;1691;4;3;-4;-3;147;830;714;4;-1;-7;1;150;683;-116;3;6;3;0;143;869;1503
nunca;23;2599;2599;2705;3699;296;242;9201.0;28644.0;2231.0;40076.0;7;12;10;9;250;1439;2332;7;5;-2;-1;241;1189;893;7;-2;-7;1;242;948;-296;7;12;10;9;240;1327;2131
coronavirus;9;4322;4322;4439;6082;271;334;8629.0;41269.0;3581.0;53479.0;7;20;22;15;368;2308;3925;7;13;2;-7;353;1940;1617;7;6;-11;-9;360;1587;-323;7;19;20;14;344;2145;3661
coronavirus;11;4784;4784;4897;7382;163;282;9053.0;40311.0;4172.0;53536.0;6;12;21;21;411;2655;4346;6;6;9;0;390;2244;1691;6;0;3;-9;390;1854;-553;5;11;21;21;388;2420;3990
coronavirus;12;2041;2041;2069;2824;86;129;8626.0;33545.0;1622.0;43793.0;5;12;12;9;180;1114;1844;5;7;0;-3;171;934;730;5;2;-7;-3;174;763;-204;5;12;12;9;168;1040;1708
coronavirus;16;3237;3237;3319;4559;121;209;7276.0;29106.0;3821.0;40203.0;8;16;8;7;271;1804;2950;8;8;-8;-1;264;1533;1146;8;0;-16;7;265;1269;-387;6;14;8;7;255;1685;2754
coronavirus;17;2889;2889;2974;3214;955;382;19454.0;65648.0;2951.0;88053.0;5;6;4;9;216;1494;2664;5;1;-2;5;207;1278;1170;5;-4;-3;7;202;1071;-108;4;5;4;8;206;1358;2408
coronavirus;18;1106;1106;1183;1471;178;153;6688.0;16846.0;1931.0;25465.0;7;7;0;0;95;603;1004;7;0;-7;0;95;508;401;7;-7;-7;7;95;413;-107;7;7;0;0;90;550;921
coronavirus;19;1041;1041;1066;1711;60;92;3449.0;18273.0;1233.0;22955.0;0;0;0;0;0;521;1041;0;0;0;0;0;521;520;0;0;0;0;0;521;-1;0;0;0;0;0;486;982
coronavirus;20;2268;2268;2407;3534;196;238;5531.0;14927.0;1712.0;22170.0;0;8;14;11;192;1240;2062;0;8;6;-3;181;1048;822;0;8;-2;-9;184;867;-226;0;8;14;10;178;1157;1929
coronavirus;21;2566;2566;2665;3556;182;215;5697.0;23720.0;2002.0;31419.0;0;2;12;10;209;1425;2345;0;2;10;-2;199;1216;920;0;2;8;-12;201;1017;-296;0;2;9;7;208;1345;2204
coronavirus;22;762;1613;840;790;283;200;23362.0;56329.0;967.0;80658.0;2;4;2;0;77;424;681;2;2;-2;-2;77;347;257;2;0;-4;0;79;270;-90;2;4;2;0;62;356;595
coronavirus;23;1552;1552;1604;2103;68;121;3595.0;24181.0;1282.0;29058.0;0;0;0;0;137;837;1415;0;0;0;0;137;700;578;0;0;0;0;137;563;-122;0;0;0;0;124;795;1360
mejores;8;2703;2703;2827;4145;71;133;5198.0;23845.0;2697.0;31740.0;5;7;11;14;235;1471;2452;5;2;4;3;221;1236;981;5;-3;2;-1;218;1015;-255;4;6;10;13;227;1402;2322
amigos;8;1731;1731;1755;2474;48;100;3354.0;23040.0;2137.0;28531.0;0;4;4;0;162;954;1565;0;4;0;-4;162;792;611;0;4;-4;-4;166;630;-181;0;4;4;0;148;885;1463
amigos;13;1837;1837;1883;2479;142;177;10915.0;28858.0;1246.0;41019.0;0;6;10;8;169;997;1658;0;6;4;-2;161;828;661;0;6;-2;-6;163;667;-167;0;5;9;8;140;842;1395
amigos;20;1406;1406;1500;2285;62;84;5614.0;26771.0;1198.0;33583.0;0;0;0;0;118;782;1288;0;0;0;0;118;664;506;0;0;0;0;118;546;-158;0;0;0;0;108;725;1196
nuevo;9;1755;1755;1778;2375;162;125;6439.0;43972.0;2013.0;52424.0;0;4;4;4;156;943;1595;0;4;0;0;152;787;652;0;4;-4;0;152;635;-135;0;3;3;3;143;856;1429
nuevo;12;1436;1436;1499;2261;111;111;5257.0;25629.0;1029.0;31915.0;0;0;0;5;112;794;1324;0;0;0;5;107;682;530;0;0;0;5;102;575;-152;0;0;0;3;106;764;1264
nuevo;14;1709;1709;1791;2609;93;81;5932.0;38213.0;1351.0;45496.0;3;3;0;0;162;940;1544;3;0;-3;0;162;778;604;3;-3;-3;3;162;616;-174;3;3;0;0;148;834;1358
nuevo;19;1589;1589;1760;2432;292;321;9498.0;26886.0;3090.0;39474.0;0;0;0;0;139;880;1450;0;0;0;0;139;741;570;0;0;0;0;139;602;-171;0;0;0;0;129;787;1295
nuevo;20;966;966;1057;1452;75;131;9846.0;19518.0;3611.0;32975.0;0;0;0;0;102;566;864;0;0;0;0;102;464;298;0;0;0;0;102;362;-166;0;0;0;0;96;516;777
nuevo;23;2489;2489;2894;3744;298;311;8740.0;26757.0;3026.0;38523.0;0;0;0;0;217;1390;2272;0;0;0;0;217;1173;882;0;0;0;0;217;956;-291;0;0;0;0;199;1267;2041
hecho;16;1705;1705;1981;1873;492;745;7028.0;17449.0;1558.0;26035.0;2;9;9;115;680;1097;1014;2;7;0;106;565;417;-83;2;5;-7;106;459;-148;-500;2;8;8;105;610;1001;927
hecho;21;2074;2074;2291;2488;197;360;6211.0;20490.0;2435.0;29136.0;6;10;6;139;749;1304;1313;6;4;-4;133;610;555;9;6;-2;-8;137;477;-55;-546;6;10;6;132;713;1237;1245
hecho;22;8283;8283;8671;11889;410;572;19462.0;64253.0;7285.0;91000.0;18;32;22;518;3205;5259;5038;18;14;-10;496;2687;2054;-221;18;-4;-24;506;2191;-633;-2275;17;30;21;494;3021;4941;4726
ganas;8;3532;3532;3699;4468;861;326;12393.0;43630.0;3503.0;59526.0;3;6;3;204;1305;2183;2221;3;3;-3;201;1101;878;38;3;0;-6;204;900;-223;-840;3;6;3;193;1187;1947;1961
empezar;8;4263;4263;4417;5834;238;359;8355.0;38392.0;3555.0;50302.0;9;17;17;243;1613;2772;2624;9;8;0;226;1370;1159;-148;9;-1;-8;226;1144;-211;-1307;6;13;16;233;1534;2634;2489
verdad;9;1526;1526;1633;2257;152;142;5031.0;24187.0;2156.0;31374.0;0;0;0;85;582;980;944;0;0;0;85;497;398;-36;0;0;0;85;412;-99;-434;0;0;0;82;551;928;900
verdad;12;4496;4496;4628;6424;181;251;11973.0;49186.0;4374.0;65533.0;9;19;17;280;1720;2854;2750;9;10;-2;263;1440;1134;-104;9;1;-12;265;1177;-306;-1238;8;18;16;264;1630;2711;2607
verdad;13;5494;5494;5907;8730;810;455;35024.0;82148.0;12145.0;129317.0;4;4;3;368;2156;3546;3331;4;0;-1;365;1788;1390;-215;4;-4;-1;366;1423;-398;-1605;3;3;3;331;1892;3099;2931
verdad;20;4999;4999;5101;7470;210;292;7993.0;28365.0;3672.0;40030.0;11;24;22;300;1914;3141;3052;11;13;-2;278;1614;1227;-89;11;2;-15;280;1336;-387;-1316;11;22;20;284;1796;2968;2918
socialistas;8;5749;5749;6103;9070;287;400;14471.0;43819.0;4693.0;62983.0;20;27;15;368;2194;3644;3520;20;7;-12;353;1826;1450;-124;20;-13;-19;365;1473;-376;-1574;14;21;15;344;2025;3350;3258
crack;8;8002;8002;8293;11525;371;526;13548.0;55365.0;5873.0;74786.0;11;25;30;474;2961;5005;5000;11;14;5;444;2487;2044;-5;11;3;-9;439;2043;-443;-2049;10;23;28;448;2768;4650;4635
cabeza;10;4752;4752;4861;6752;118;232;6361.0;36207.0;4188.0;46756.0;6;13;13;307;1743;2950;2990;6;7;0;294;1436;1207;40;6;1;-7;294;1142;-229;-1167;6;13;12;293;1676;2818;2826
cabeza;11;7343;7343;7595;10778;258;510;11041.0;55434.0;6748.0;73223.0;14;26;24;459;2814;4679;4491;14;12;-2;435;2355;1865;-188;14;-2;-14;437;1920;-490;-2053;11;21;21;424;2535;4234;4102
salud;16;7197;7197;7398;10626;182;342;19625.0;121798.0;5783.0;147206.0;11;20;25;443;2828;4672;4333;11;9;5;418;2385;1844;-339;11;-2;-4;413;1967;-541;-2183;11;20;23;416;2539;4158;3899
